Quests	Misc	Status	Props	Name	World ID	Size / Type	Description
✔		Portal	1145	Aurora Night / -Creationv_God(创世神)	4981963849809766362		Nice world
	Club Portals	Portal	6690	Treasure Bowls	2483698126389093835	Empty World	
✔	Music	Portal	3450	三位一体-TRINITY / Solstice Reach	6545535522923877726	Large World	
✔		x	196	cloudbusters	7532786701088671037	Small World	Nothing of note
✔	x	x	16	Creative Alchemy	1113256078074306126	Small world	Nothing of Note
✔	x	x	968	Free Buffs	5674659773089772230	Small World	Nothing of Note
✔	x	x	420	Ld Aces	3870014950248478704	Small World	Nothing of Note.
✔	x	x	70	NeverGarden	4694026455913607608	Small World	Nothing of Note.
✔		x	478	Perky	8383222671642968394	Small world	Nothing of note
✔			1162	Aurora Orden	310861692126355498		
✔				AwZRaveN	3527228595466939792		
✔			6690	B4	1301866870052940307		
✔			185	Baddie	2617549398507347120	Medium World	Spawn looks like a bedroom
✔			49,482	chonky cat	6885542858465991897		Hmm
					666709566245947273		
✔			151	Fantasy Memories	7307815630313280735		
✔			497	Flaming Bulls Eye	7970071990352414016		
✔				Flux Pandemic	2246358359464501858	Small World	TTVCrazyWarhead's world
✔				Kelfam	2659506785694603582		
✔			2241	KING Private	3401018642734873534		
✔				AltForge	5842385574121633075		
✔			2447	LightForge	6274086313377927524		
✔			38	Mafia da Coxinha	1671576998135786990		
?	?	?	?	Snowcube Sanctuary	6889147974114567401	Gamigo Event Club World	Gamigo Event Club World
				Laezaria	7008450125153586076		
✔			13	Mushroom Dealer	3931371854493554378	Small world	Nothing of note
✔			104	Nonono1213	7495799974851228635		
✔			124	Os Lobisomens	219098164534370926		
✔			584	overmatch	379852485524367044		
✔				Six Eyes	4170372158486129329		
✔			139	Suffer	8665543193800716969		
✔			51	Sw1ft	8542932701154598467		
✔				THE FENG SHUI GARDEN	4968379296005728567		
✔			3131	The Kowloon City	6730195732566727032		
✔			1858	七里香 / Qilixiang	3541404653960818830		
✔	Music		1715	回忆终成困境 / Memories ultimately become a dilemma	682988740215809801		ラックライフ - [軌跡 CD1 #01] 軌跡
✔	Club Portals	Portal	2890	Symbolic	3090541869708005068	Large World	
✔	x	x	211	Jasmine Dynasty	3834132561759947554	Small World	Nothing of Note.
✔	x	x	91	KingsReign	1379647614987847369	Small world	nothing of note
✔	x	x	42	Passion	2234633190314494244	Small world	Nothing of note
✔	x	x	x	Showcase	5465310401112638958	Small world	nothing of note
✔	x	x	51	The Pinata Empire	5991470391991681403	Small World	Nothing of Note
✔		x	845	TZ	6987963468567219780	Small World	Nothing of Note
✔			3515	Aiko	3659324091828210825	Large World	
✔				Bazelgeuse	5097472675535220201		
✔			471	Future N	4207372097053902147		
✔			2101	Geodian Seekers	1692395247413042372	Large World	
x	x	x	9	Astral	7013383101632058649	Empty World	
x	x	x	x	Daikamanari	7488738672838742138	Empty world	
x	x	x	x	Hyrule	Museum World	Museum World	
x	x	x	45	Vultogs Sexy People	3016143379052868958		
		Inaccessible now	~	TeeHeeTummyTums / Default	5159	Alpha Club World / Destructable.	
		Portal	7081	1984 / Club1984	863724319093947233		
		Portal	3316	A Shattered Dimension	142249982446401487		
		Portal	528	Ablockalypse	3050640574846428460		
		Portal	1482	Adept Assassins	8884186832375109909	Large World	mostly empty. Large Ghost Ship
		Portal	613	afk strokin / OG	1452224439241429711		
		Portal	1772	Ageless	7282354508304574157	_Youssef_'s Club World. / Beta Club World	
		Portal	2159	Aira	7680092804555660879	Large World	Nice Spawn
		Portal	10,212	Aitaria	3978233649413236060		
	Club Portals	Portal	11,650	All in Four	6746880657012631235		
		Portal	22,069	Alpha Legacy / CS Gods - Counter Shadow Gods	2559776651792003031		
		Portal	95	Ancient Akihabara	1907260413800624606		
	Music	Portal	1750	Angelus Errares	849635231856784182		Pixel Art, Large Builds, skyscrapers, boat racing
	Music	Portal	5086	Aoi Tsuki / Aoi	5459377610077135046	Large World	Large Darling in Franxx Statue & Pixel Art
		Portal	411	Arbiters of Heck	4769335192772109535	Large World	
	Music	Portal	13,924	Architect Pride	1253110486583218686		
		Portal	2915	Arcillusions	496442395461624291	Large World	
	Music	Portal	848	Arctech / Architect	5104039584130908583		Chrono Trigger Music Piece
		Portal	1468	Art	6987472936911202236		Large well done spawn
		Portal	1962	Astraeal	4061410771634671840		Lots of flags / Recreation of spawn hub
		Portal	233	B3L Air	3546891266628473429		
		Portal	5073	Bai Yujing (ZCitizen)	3454501768088599892	Large World	
	Music	Portal	2391	BANANA OWO	4569965254654594085		Large one piece fan club
		Portal	321	Bar Dweller	717858844414995084		
		Portal	3,118	Bishokukai	9164970962360342115	Large World	nice spawn. Has boats.
		Portal	4461	Black Lodge	7181574084547843079	Large World	lots of large builds
		Portal	5237	BlackSailors / Le Monde Inconnu	8156076727351582162	Large World	lots of ships and builds
		Portal	4996	Blade Longinus	3334085164814196269	Medium World	Large Spawn Build
		Portal	1,844	MF	4669497423049264132		
	Music	Portal	10,710	Blazing Angels	5985135133956728903		Railgun, Sabre and JoJo statues
		Portal	6920	Blood and Wine / Rose	3797351057309245917		
